Раздел обзора;Имя файла;Авторы и год;Что взять для обзора (тезисы);Тип материала
"Физиология аэробно-анаэробного перехода
(VT1/VT2/LT1/LT2, механизмы)";2015__Kominami__Very_Early_Lactate_Threshold_and_Oxygen_Uptake_Kinetics.pdf;Kominami, Nishijima, 2015;"1. LT у части испытуемых наступает при ~30% VO₂peak — значительно раньше VT (~38%).
2. Медленные протоколы тестирования выявляют более низкие пороги из-за времени диффузии лактата.
3. Ранний LT ассоциирован с замедленной кинетикой потребления кислорода (ΔVO₂/ΔWR).
4. Разрыв между LT и VT важен при выборе протокола: в рамп-тесте LT ≠ VT.";Количественные данные + методология
"Физиология аэробно-анаэробного перехода
(VT1/VT2/LT1/LT2, механизмы)";2020__Fasching__First_Lactate_Threshold_as_a_Limit_for_Heavy_Work.pdf;Fasching, Rinnerhofer, 2020;"1. LT1 является физиологическим верхним пределом для продолжительной тяжёлой работы (до 8 часов).
2. В выборке 188 мужчин и 52 женщин 95,4% выполняли обычный труд ниже LT1.
3. Выход за LT1 вызывает рост катехоламинов и симпатическую активацию — ускоряет утомление.
4. Чёткое разграничение: интенсивности ниже LT1 — трудовые нагрузки, выше — спортивные.";Количественные данные
"Физиология аэробно-анаэробного перехода
(VT1/VT2/LT1/LT2, механизмы)";2022__Wackerhage__Lactate_Thresholds_and_Energy_Metabolism_Modeling.pdf;Wackerhage, Gehlert, 2022;"1. Модель Мадера описывает активацию гликолиза и окислительного фосфорилирования как функции [АДФ].
2. Высокая VLamax снижает мощность на ПАНО и ухудшает выносливость на длинных дистанциях.
3. Модель симулирует медленный компонент VO₂ и жировое окисление — предсказано ещё в 1980-х.
4. История понятий: LT4 (Heck, Mader), maxLass — различные операциональные определения одного феномена.";Обзор + методология
"Физиология аэробно-анаэробного перехода
(VT1/VT2/LT1/LT2, механизмы)";2013__Messonnier__Lactate_Kinetics_at_the_Lactate_Threshold.pdf;Messonnier, Emhoff, 2013;"1. LT = точка, где накопление лактата ускоряется из-за дисбаланса Ra и Rd; MCR достигает максимума ниже LT.
2. Окисление составляет ~70–80% утилизации лактата, глюконеогенез — ~20–30%.
3. Белки MCT являются лимитирующим фактором клиренса при высокой интенсивности.
4. Тренировка увеличивает MCR на 97% — за счёт митохондриальной адаптации, а не снижения Ra.";Количественные данные + методология
"Физиология аэробно-анаэробного перехода
(VT1/VT2/LT1/LT2, механизмы)";2019__Popov__Validation_Method_for_Assessing_Anaerobic_Threshold_in_Working_Muscle_RU.pdf;Попов, Кузнецов, 2019;"1. Переход связан с вовлечением высокопороговых ДЕ (тип II) с низкими окислительными возможностями.
2. Системный лактатный порог тесно коррелирует с локальным мышечным порогом (r = 0.89–0.92).
3. Метод АП_HHb-ЭМГ позволяет оценивать тренированность конкретных мышечных групп.
4. Локальный и системный пороги совпадают при работе большой мышечной массы, но расходятся при локальной нагрузке.";Сравнение методов
"Физиология аэробно-анаэробного перехода
(VT1/VT2/LT1/LT2, механизмы)";2020__Lin__Detection_of_Ventilatory_Thresholds_Using_NIRS.pdf;Lin, Huang, 2020;"1. VT1 соответствует началу накопления лактата и изменению вентиляции для выведения CO₂.
2. VT2 — точка начала респираторной компенсации метаболического ацидоза.
3. В данной выборке VT1NIRS = 59.4% VO₂max, VT2NIRS = 86.1% VO₂max (молодые здоровые мужчины).
4. Снижение O₂Hb является предиктором VT1 из-за влияния метаболического ацидоза (эффект Бора).";Количественные данные
"Физиология аэробно-анаэробного перехода
(VT1/VT2/LT1/LT2, механизмы)";2025__Fiedler__Reference_Standards_for_Power_at_Lactate_Threshold_2.pdf;Fiedler, Woll, 2025;"1. Референсные нормы мощности на LT2 (велоэргометр) для населения Германии — репрезентативная выборка DEGS1.
2. Мощность на LT2 закономерно снижается с возрастом; значительные различия между полами.
3. Метод определения LT2: базовый лактат + 1 ммоль/л, реализован в R-пакете lactater.
4. Данные используются как эталонные нормативы для сравнения в спортивных и клинических исследованиях.";Количественные данные (нормативы)
"Физиология аэробно-анаэробного перехода
(VT1/VT2/LT1/LT2, механизмы)";2021__Ji__Calculated_vs_Established_Anaerobic_Lactate_Thresholds_in_Running.pdf;Ji, Sommer, 2021;"1. Расчётный LTAn через метаболическую симуляцию (VLamax + VO₂max) сопоставим с mDmax (ICC=0.87) и OBLA (ICC=0.74).
2. Модель учитывает индивидуальные VO₂max, VLamax и экономичность бега.
3. cLTAn коррелирует с результативностью на 3000/5000/10000 м (r=0.61–0.76) — сравнимо с традиционными методами.
4. Среднее отличие cLTAn от mDmax: −0.13 м/с; от OBLA: −0.32 м/с (p<0.01).";Сравнение методов + количественные данные
"ЭМГ как маркер порога и мышечной усталости
при велоэргометрии";1981__Nagata__Anaerobic_Threshold_by_Blood_Lactate_and_EMG.pdf;Nagata, Moritani, 1981;"1. Первая демонстрация корреляции ЭМГ-порога с кровяным AT: r=0.921, p<0.001 (n=10).
2. Значимый рост FRQ70% (ширина зоны 70% пика спектра) сразу после blood AT: mean diff = 10.3 Гц, t=2.82, p<0.05; пиковая частота (PFR) не меняется значимо (p>0.05).
3. ЭМГ-AT незначительно опережает blood AT по VO₂ — ЭМГ-AT наступает чуть позже: mean diff = 0.20 л/мин VO₂, t=3.98, p<0.05; в 4 из 10 случаев — совпадает точно.
4. ЭМГ-AT отражает рекрутирование ДЕ с FOG/FG-волокнами и сдвиг спектра в сторону низких частот из-за снижения pH.";Количественные данные + методология
"ЭМГ как маркер порога и мышечной усталости
при велоэргометрии";2019__Popov__MuscleSpecific_Evaluation_of_Anaerobic_Threshold.pdf;Popov, Vinogradova, 2019;"1. Комбинированный маркер ATHHb-EMG коррелирует с LT4 на велоэргометре: r=0.89, p<0.001, n=40.
2. Коэффициент вариации ATHHb-EMG при тест-ретесте ~3% — высокая воспроизводимость.
3. Алгоритм: нормировка HHb и ЭМГ → V-slope метод для нахождения перегиба кривой HHb(EMG).
4. Применим для малых групп мышц (лыжный эргометр), где системные маркеры неприменимы (r=0.92, n=9).";Методология + количественные данные
