feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG,lt2,"GBM(n=200,d=3)",19,79,3.4789,3.2853,0.539,0.77,184.0
EMG,lt2,"SVR(C=1,ε=0.1)",19,79,4.1784,4.1762,0.303,0.723,10.2
EMG,lt2,"SVR(C=1,ε=1.0)",19,79,4.1786,4.1764,0.303,0.723,10.2
EMG,lt2,"SVR(C=10,ε=0.1)",19,79,3.4549,3.325,0.506,0.767,10.1
EMG,lt2,"SVR(C=10,ε=1.0)",19,79,3.4538,3.3241,0.507,0.767,9.9
EMG,lt2,"SVR(C=100,ε=0.1)",19,79,3.3971,3.1994,0.54,0.775,10.7
EMG,lt2,"SVR(C=100,ε=1.0)",19,79,3.3973,3.1996,0.54,0.775,9.0
NIRS,lt2,Ridge(α=1),19,15,5.6881,5.4801,-0.26,0.439,0.3
NIRS,lt2,Ridge(α=10),19,15,5.6254,5.4177,-0.223,0.441,0.2
NIRS,lt2,Ridge(α=100),19,15,5.2651,5.0796,-0.024,0.458,0.2
NIRS,lt2,Ridge(α=1000),19,15,4.7022,4.5703,0.208,0.509,0.3
NIRS,lt2,Huber(ε=1.1),19,15,5.9628,5.7654,-0.431,0.421,0.5
NIRS,lt2,Huber(ε=1.35),19,15,5.8721,5.6659,-0.375,0.428,0.6
NIRS,lt2,Huber(ε=1.5),19,15,5.8019,5.5938,-0.343,0.435,0.6
NIRS,lt2,Huber(ε=2.0),19,15,5.727,5.5204,-0.294,0.439,0.5
NIRS,lt2,"EN(α=0.01,l1=0.2)",19,15,5.5201,5.3158,-0.161,0.446,0.7
NIRS,lt2,"EN(α=0.01,l1=0.5)",19,15,5.5773,5.3706,-0.194,0.443,0.8
NIRS,lt2,"EN(α=0.01,l1=0.9)",19,15,5.6682,5.4601,-0.248,0.44,1.6
NIRS,lt2,"EN(α=0.1,l1=0.2)",19,15,4.9744,4.8108,0.108,0.474,0.2
NIRS,lt2,"EN(α=0.1,l1=0.5)",19,15,5.1075,4.9331,0.052,0.467,0.3
NIRS,lt2,"EN(α=0.1,l1=0.9)",19,15,5.4795,5.2779,-0.138,0.447,0.4
NIRS,lt2,"EN(α=1.0,l1=0.2)",19,15,4.6476,4.554,0.225,0.504,0.2
NIRS,lt2,"EN(α=1.0,l1=0.5)",19,15,4.6529,4.543,0.225,0.512,0.2
NIRS,lt2,"EN(α=1.0,l1=0.9)",19,15,4.8903,4.7342,0.139,0.48,0.2
NIRS,lt2,"GBM(n=50,d=2)",19,15,4.8438,4.6917,0.174,0.406,8.0
NIRS,lt2,"GBM(n=50,d=3)",19,15,4.7227,4.5544,0.217,0.453,10.9
NIRS,lt2,"GBM(n=100,d=2)",19,15,4.8645,4.6675,0.176,0.43,14.2
NIRS,lt2,"GBM(n=100,d=3)",19,15,4.6899,4.4783,0.223,0.484,19.4
NIRS,lt2,"GBM(n=200,d=2)",19,15,4.9377,4.7089,0.171,0.465,25.8
NIRS,lt2,"GBM(n=200,d=3)",19,15,4.7865,4.57,0.192,0.49,36.4
NIRS,lt2,"SVR(C=1,ε=0.1)",19,15,4.9922,4.9875,0.114,0.454,6.2
NIRS,lt2,"SVR(C=1,ε=1.0)",19,15,4.9923,4.9876,0.114,0.454,6.0
NIRS,lt2,"SVR(C=10,ε=0.1)",19,15,4.5005,4.4342,0.282,0.515,6.1
NIRS,lt2,"SVR(C=10,ε=1.0)",19,15,4.5012,4.4349,0.282,0.515,6.2
NIRS,lt2,"SVR(C=100,ε=0.1)",19,15,4.8254,4.6821,0.219,0.532,6.3
NIRS,lt2,"SVR(C=100,ε=1.0)",19,15,4.8229,4.6794,0.219,0.532,4.9
HRV,lt2,Ridge(α=1),19,7,2.3048,2.2855,0.82,0.912,0.2
HRV,lt2,Ridge(α=10),19,7,2.2964,2.277,0.821,0.913,0.2
HRV,lt2,Ridge(α=100),19,7,2.2675,2.248,0.822,0.914,0.2
HRV,lt2,Ridge(α=1000),19,7,2.3956,2.366,0.781,0.9,0.2
HRV,lt2,Huber(ε=1.1),19,7,2.3575,2.3451,0.811,0.908,0.4
HRV,lt2,Huber(ε=1.35),19,7,2.3315,2.3209,0.815,0.91,0.4
HRV,lt2,Huber(ε=1.5),19,7,2.3211,2.3087,0.817,0.91,0.3
HRV,lt2,Huber(ε=2.0),19,7,2.3136,2.2962,0.818,0.911,0.4
HRV,lt2,"EN(α=0.01,l1=0.2)",19,7,2.2879,2.2678,0.822,0.913,0.3
HRV,lt2,"EN(α=0.01,l1=0.5)",19,7,2.2926,2.2729,0.821,0.913,0.2
HRV,lt2,"EN(α=0.01,l1=0.9)",19,7,2.3003,2.2811,0.821,0.913,0.6
HRV,lt2,"EN(α=0.1,l1=0.2)",19,7,2.2639,2.2401,0.816,0.911,0.2
HRV,lt2,"EN(α=0.1,l1=0.5)",19,7,2.2619,2.2405,0.82,0.913,0.2
HRV,lt2,"EN(α=0.1,l1=0.9)",19,7,2.2845,2.2641,0.822,0.913,0.2
HRV,lt2,"EN(α=1.0,l1=0.2)",19,7,2.6947,2.6506,0.721,0.882,0.1
HRV,lt2,"EN(α=1.0,l1=0.5)",19,7,2.5358,2.4989,0.752,0.891,0.1
HRV,lt2,"EN(α=1.0,l1=0.9)",19,7,2.2689,2.2432,0.813,0.91,0.2
HRV,lt2,"GBM(n=50,d=2)",19,7,2.5365,2.5184,0.764,0.897,3.8
HRV,lt2,"GBM(n=50,d=3)",19,7,2.5519,2.4975,0.765,0.897,5.6
HRV,lt2,"GBM(n=100,d=2)",19,7,2.6097,2.5674,0.751,0.896,7.4
HRV,lt2,"GBM(n=100,d=3)",19,7,2.6462,2.5606,0.748,0.894,9.9
HRV,lt2,"GBM(n=200,d=2)",19,7,2.6811,2.6203,0.736,0.893,13.0
HRV,lt2,"GBM(n=200,d=3)",19,7,2.7362,2.6274,0.726,0.888,18.1
HRV,lt2,"SVR(C=1,ε=0.1)",19,7,3.3519,3.3317,0.517,0.824,5.5
HRV,lt2,"SVR(C=1,ε=1.0)",19,7,3.3516,3.3316,0.517,0.824,5.5
HRV,lt2,"SVR(C=10,ε=0.1)",19,7,2.8437,2.826,0.669,0.864,5.6
HRV,lt2,"SVR(C=10,ε=1.0)",19,7,2.8445,2.8267,0.668,0.864,5.4
HRV,lt2,"SVR(C=100,ε=0.1)",19,7,2.8648,2.839,0.646,0.844,5.8
HRV,lt2,"SVR(C=100,ε=1.0)",19,7,2.8616,2.8359,0.647,0.844,4.5
EMG+NIRS,lt2,Ridge(α=1),19,94,4.146,3.8806,0.339,0.675,1.1
EMG+NIRS,lt2,Ridge(α=10),19,94,4.0313,3.7788,0.376,0.688,1.0
EMG+NIRS,lt2,Ridge(α=100),19,94,3.6292,3.3977,0.505,0.74,1.1
EMG+NIRS,lt2,Ridge(α=1000),19,94,3.1118,2.9363,0.63,0.812,1.1
EMG+NIRS,lt2,Huber(ε=1.1),19,94,4.2234,3.9519,0.297,0.666,9.3
EMG+NIRS,lt2,Huber(ε=1.35),19,94,4.2013,3.9306,0.305,0.668,8.9
EMG+NIRS,lt2,Huber(ε=1.5),19,94,4.1877,3.9135,0.314,0.67,8.6
EMG+NIRS,lt2,Huber(ε=2.0),19,94,4.1873,3.9156,0.324,0.669,8.2
EMG+NIRS,lt2,"EN(α=0.01,l1=0.2)",19,94,3.8956,3.6539,0.42,0.705,10.7
EMG+NIRS,lt2,"EN(α=0.01,l1=0.5)",19,94,3.9647,3.7187,0.398,0.696,11.4
EMG+NIRS,lt2,"EN(α=0.01,l1=0.9)",19,94,4.1013,3.8407,0.354,0.68,13.8
EMG+NIRS,lt2,"EN(α=0.1,l1=0.2)",19,94,3.3628,3.1553,0.578,0.778,3.8
EMG+NIRS,lt2,"EN(α=0.1,l1=0.5)",19,94,3.4789,3.259,0.548,0.761,4.2
EMG+NIRS,lt2,"EN(α=0.1,l1=0.9)",19,94,3.8384,3.6029,0.438,0.712,5.9
EMG+NIRS,lt2,"EN(α=1.0,l1=0.2)",19,94,2.9957,2.8415,0.647,0.827,1.6
EMG+NIRS,lt2,"EN(α=1.0,l1=0.5)",19,94,3.034,2.8718,0.642,0.822,1.9
EMG+NIRS,lt2,"EN(α=1.0,l1=0.9)",19,94,3.2743,3.0814,0.6,0.791,2.0
EMG+NIRS,lt2,"GBM(n=50,d=2)",19,94,3.2361,3.0684,0.569,0.778,47.4
EMG+NIRS,lt2,"GBM(n=50,d=3)",19,94,3.3615,3.2193,0.558,0.772,64.7
EMG+NIRS,lt2,"GBM(n=100,d=2)",19,94,3.3786,3.2096,0.548,0.772,84.9
EMG+NIRS,lt2,"GBM(n=100,d=3)",19,94,3.446,3.2964,0.546,0.767,118.7
EMG+NIRS,lt2,"GBM(n=200,d=2)",19,94,3.4376,3.2621,0.543,0.767,158.1
EMG+NIRS,lt2,"GBM(n=200,d=3)",19,94,3.4652,3.3171,0.544,0.765,225.6
EMG+NIRS,lt2,"SVR(C=1,ε=0.1)",19,94,4.2557,4.2544,0.292,0.731,11.7
EMG+NIRS,lt2,"SVR(C=1,ε=1.0)",19,94,4.2552,4.254,0.292,0.731,12.0
EMG+NIRS,lt2,"SVR(C=10,ε=0.1)",19,94,3.3937,3.2488,0.525,0.772,11.7
EMG+NIRS,lt2,"SVR(C=10,ε=1.0)",19,94,3.3941,3.2493,0.525,0.772,11.5
EMG+NIRS,lt2,"SVR(C=100,ε=0.1)",19,94,3.3535,3.1912,0.546,0.763,12.6
EMG+NIRS,lt2,"SVR(C=100,ε=1.0)",19,94,3.3537,3.191,0.546,0.763,11.2
EMG+NIRS+HRV,lt2,Ridge(α=1),19,103,2.5494,2.4508,0.775,0.898,0.8
EMG+NIRS+HRV,lt2,Ridge(α=10),19,103,2.4805,2.3899,0.788,0.902,0.8
EMG+NIRS+HRV,lt2,Ridge(α=100),19,103,2.3059,2.2216,0.817,0.914,1.0
EMG+NIRS+HRV,lt2,Ridge(α=1000),19,103,2.2978,2.2189,0.814,0.913,0.9
EMG+NIRS+HRV,lt2,Huber(ε=1.1),19,103,2.5363,2.4382,0.779,0.902,14.7
EMG+NIRS+HRV,lt2,Huber(ε=1.35),19,103,2.569,2.4662,0.774,0.899,13.6
EMG+NIRS+HRV,lt2,Huber(ε=1.5),19,103,2.5693,2.466,0.773,0.898,12.8
EMG+NIRS+HRV,lt2,Huber(ε=2.0),19,103,2.5661,2.4639,0.773,0.897,12.3
EMG+NIRS+HRV,lt2,"EN(α=0.01,l1=0.2)",19,103,2.4143,2.3253,0.799,0.907,9.9
EMG+NIRS+HRV,lt2,"EN(α=0.01,l1=0.5)",19,103,2.447,2.3579,0.794,0.905,10.4
EMG+NIRS+HRV,lt2,"EN(α=0.01,l1=0.9)",19,103,2.5187,2.4249,0.781,0.9,13.4
EMG+NIRS+HRV,lt2,"EN(α=0.1,l1=0.2)",19,103,2.2454,2.1717,0.826,0.918,3.4
EMG+NIRS+HRV,lt2,"EN(α=0.1,l1=0.5)",19,103,2.2588,2.1822,0.824,0.918,3.5
EMG+NIRS+HRV,lt2,"EN(α=0.1,l1=0.9)",19,103,2.3846,2.2985,0.804,0.908,5.1
EMG+NIRS+HRV,lt2,"EN(α=1.0,l1=0.2)",19,103,2.3483,2.2673,0.795,0.904,1.7
EMG+NIRS+HRV,lt2,"EN(α=1.0,l1=0.5)",19,103,2.3207,2.2415,0.805,0.908,1.6
EMG+NIRS+HRV,lt2,"EN(α=1.0,l1=0.9)",19,103,2.2039,2.1316,0.831,0.921,1.8
EMG+NIRS+HRV,lt2,"GBM(n=50,d=2)",19,103,2.2466,2.2066,0.826,0.92,48.2
EMG+NIRS+HRV,lt2,"GBM(n=50,d=3)",19,103,2.1357,2.0955,0.853,0.925,66.5
EMG+NIRS+HRV,lt2,"GBM(n=100,d=2)",19,103,2.3401,2.2901,0.815,0.913,88.1
EMG+NIRS+HRV,lt2,"GBM(n=100,d=3)",19,103,2.2044,2.1569,0.845,0.919,125.0
EMG+NIRS+HRV,lt2,"GBM(n=200,d=2)",19,103,2.3846,2.331,0.81,0.909,165.1
EMG+NIRS+HRV,lt2,"GBM(n=200,d=3)",19,103,2.2419,2.1886,0.839,0.915,236.2
EMG+NIRS+HRV,lt2,"SVR(C=1,ε=0.1)",19,103,4.0427,4.0431,0.339,0.782,11.6
EMG+NIRS+HRV,lt2,"SVR(C=1,ε=1.0)",19,103,4.0431,4.0436,0.339,0.782,11.3
EMG+NIRS+HRV,lt2,"SVR(C=10,ε=0.1)",19,103,2.952,2.8407,0.625,0.849,11.6
EMG+NIRS+HRV,lt2,"SVR(C=10,ε=1.0)",19,103,2.9524,2.8412,0.625,0.849,11.4
EMG+NIRS+HRV,lt2,"SVR(C=100,ε=0.1)",19,103,2.612,2.5091,0.717,0.892,13.8
EMG+NIRS+HRV,lt2,"SVR(C=100,ε=1.0)",19,103,2.6121,2.5092,0.717,0.892,11.2
EMG,lt1,Ridge(α=1),14,79,3.2391,3.0005,0.626,0.817,0.4
EMG,lt1,Ridge(α=10),14,79,3.1623,2.9404,0.646,0.827,0.4
EMG,lt1,Ridge(α=100),14,79,3.033,2.8341,0.675,0.845,0.4
EMG,lt1,Ridge(α=1000),14,79,2.8994,2.7534,0.707,0.865,0.4
EMG,lt1,Huber(ε=1.1),14,79,3.3146,3.0601,0.603,0.81,4.1
EMG,lt1,Huber(ε=1.35),14,79,3.2697,3.023,0.614,0.814,3.9
EMG,lt1,Huber(ε=1.5),14,79,3.2566,3.0092,0.617,0.815,4.0
EMG,lt1,Huber(ε=2.0),14,79,3.259,3.0121,0.618,0.814,3.6
EMG,lt1,"EN(α=0.01,l1=0.2)",14,79,3.1181,2.9016,0.656,0.833,4.8
EMG,lt1,"EN(α=0.01,l1=0.5)",14,79,3.1408,2.9228,0.651,0.83,5.1
EMG,lt1,"EN(α=0.01,l1=0.9)",14,79,3.2084,2.9763,0.635,0.821,6.5
EMG,lt1,"EN(α=0.1,l1=0.2)",14,79,2.9811,2.802,0.687,0.852,1.7
EMG,lt1,"EN(α=0.1,l1=0.5)",14,79,3.0064,2.8163,0.681,0.848,1.8
EMG,lt1,"EN(α=0.1,l1=0.9)",14,79,3.0937,2.879,0.661,0.836,2.7
EMG,lt1,"EN(α=1.0,l1=0.2)",14,79,2.8626,2.7377,0.714,0.87,0.8
EMG,lt1,"EN(α=1.0,l1=0.5)",14,79,2.8748,2.7387,0.711,0.868,0.8
EMG,lt1,"EN(α=1.0,l1=0.9)",14,79,2.93,2.7616,0.696,0.858,0.9
EMG,lt1,"GBM(n=50,d=2)",14,79,2.8488,2.7147,0.698,0.858,22.2
EMG,lt1,"GBM(n=50,d=3)",14,79,2.9066,2.7446,0.687,0.854,30.6
EMG,lt1,"GBM(n=100,d=2)",14,79,2.8314,2.6718,0.701,0.859,40.5
EMG,lt1,"GBM(n=100,d=3)",14,79,2.9388,2.7544,0.684,0.85,57.7
EMG,lt1,"GBM(n=200,d=2)",14,79,2.8709,2.705,0.696,0.856,76.9
EMG,lt1,"GBM(n=200,d=3)",14,79,2.9872,2.7938,0.674,0.845,109.9
EMG,lt1,"SVR(C=1,ε=0.1)",14,79,4.2184,4.2203,0.327,0.76,5.4
EMG,lt1,"SVR(C=1,ε=1.0)",14,79,4.2188,4.2208,0.326,0.76,5.2
EMG,lt1,"SVR(C=10,ε=0.1)",14,79,3.3321,3.1733,0.564,0.797,5.2
EMG,lt1,"SVR(C=10,ε=1.0)",14,79,3.3309,3.1721,0.564,0.797,5.1
EMG,lt1,"SVR(C=100,ε=0.1)",14,79,3.172,2.9866,0.619,0.825,5.6
EMG,lt1,"SVR(C=100,ε=1.0)",14,79,3.1726,2.9874,0.619,0.825,4.8
NIRS,lt1,Ridge(α=1),14,15,5.6268,5.4246,-0.212,0.539,0.2
NIRS,lt1,Ridge(α=10),14,15,5.4987,5.2991,-0.146,0.548,0.2
NIRS,lt1,Ridge(α=100),14,15,5.0061,4.8181,0.08,0.59,0.2
NIRS,lt1,Ridge(α=1000),14,15,4.5114,4.3935,0.292,0.622,0.2
NIRS,lt1,Huber(ε=1.1),14,15,6.2297,5.9893,-0.442,0.488,0.4
NIRS,lt1,Huber(ε=1.35),14,15,6.015,5.7861,-0.365,0.504,0.4
NIRS,lt1,Huber(ε=1.5),14,15,5.9187,5.6961,-0.326,0.512,0.4
NIRS,lt1,Huber(ε=2.0),14,15,5.7287,5.5132,-0.251,0.529,0.4
NIRS,lt1,"EN(α=0.01,l1=0.2)",14,15,5.3565,5.158,-0.076,0.558,0.6
NIRS,lt1,"EN(α=0.01,l1=0.5)",14,15,5.441,5.2419,-0.117,0.552,0.6
NIRS,lt1,"EN(α=0.01,l1=0.9)",14,15,5.5934,5.392,-0.195,0.541,1.2
NIRS,lt1,"EN(α=0.1,l1=0.2)",14,15,4.7882,4.6253,0.173,0.61,0.2
NIRS,lt1,"EN(α=0.1,l1=0.5)",14,15,4.9009,4.7207,0.124,0.6,0.2
NIRS,lt1,"EN(α=0.1,l1=0.9)",14,15,5.3008,5.1032,-0.05,0.563,0.3
NIRS,lt1,"EN(α=1.0,l1=0.2)",14,15,4.4601,4.3716,0.305,0.609,0.2
NIRS,lt1,"EN(α=1.0,l1=0.5)",14,15,4.4707,4.3621,0.306,0.62,0.1
NIRS,lt1,"EN(α=1.0,l1=0.9)",14,15,4.7212,4.5676,0.203,0.614,0.1
NIRS,lt1,"GBM(n=50,d=2)",14,15,5.0449,4.8998,0.152,0.484,4.7
NIRS,lt1,"GBM(n=50,d=3)",14,15,4.9491,4.7466,0.163,0.504,6.4
NIRS,lt1,"GBM(n=100,d=2)",14,15,5.239,5.0686,0.099,0.493,8.4
NIRS,lt1,"GBM(n=100,d=3)",14,15,5.156,4.9394,0.116,0.511,11.7
NIRS,lt1,"GBM(n=200,d=2)",14,15,5.5246,5.3586,-0.002,0.488,15.6
NIRS,lt1,"GBM(n=200,d=3)",14,15,5.2265,5.0023,0.094,0.519,21.9
NIRS,lt1,"SVR(C=1,ε=0.1)",14,15,4.9943,4.9772,0.147,0.559,3.2
NIRS,lt1,"SVR(C=1,ε=1.0)",14,15,4.9943,4.9772,0.147,0.559,3.2
NIRS,lt1,"SVR(C=10,ε=0.1)",14,15,4.4699,4.3778,0.329,0.591,3.3
NIRS,lt1,"SVR(C=10,ε=1.0)",14,15,4.4704,4.3786,0.329,0.59,3.3
NIRS,lt1,"SVR(C=100,ε=0.1)",14,15,5.5887,5.4009,-0.064,0.442,3.4
NIRS,lt1,"SVR(C=100,ε=1.0)",14,15,5.5886,5.4006,-0.064,0.442,2.8
HRV,lt1,Ridge(α=1),14,7,2.6068,2.674,0.739,0.859,0.1
HRV,lt1,Ridge(α=10),14,7,2.6065,2.6742,0.738,0.859,0.1
HRV,lt1,Ridge(α=100),14,7,2.6157,2.685,0.736,0.859,0.1
HRV,lt1,Ridge(α=1000),14,7,2.8748,2.9238,0.689,0.843,0.1
HRV,lt1,Huber(ε=1.1),14,7,2.6458,2.7267,0.731,0.856,0.2
HRV,lt1,Huber(ε=1.35),14,7,2.5981,2.6742,0.741,0.861,0.2
HRV,lt1,Huber(ε=1.5),14,7,2.5928,2.6659,0.742,0.861,0.2
HRV,lt1,Huber(ε=2.0),14,7,2.5942,2.662,0.742,0.861,0.2
HRV,lt1,"EN(α=0.01,l1=0.2)",14,7,2.6059,2.6741,0.738,0.859,0.2
HRV,lt1,"EN(α=0.01,l1=0.5)",14,7,2.6061,2.674,0.738,0.859,0.2
HRV,lt1,"EN(α=0.01,l1=0.9)",14,7,2.607,2.6743,0.738,0.859,0.8
HRV,lt1,"EN(α=0.1,l1=0.2)",14,7,2.6605,2.7264,0.728,0.855,0.1
HRV,lt1,"EN(α=0.1,l1=0.5)",14,7,2.6285,2.6981,0.733,0.857,0.1
HRV,lt1,"EN(α=0.1,l1=0.9)",14,7,2.606,2.6745,0.738,0.859,0.1
HRV,lt1,"EN(α=1.0,l1=0.2)",14,7,3.0868,3.1189,0.647,0.83,0.1
HRV,lt1,"EN(α=1.0,l1=0.5)",14,7,2.967,3.0067,0.672,0.838,0.1
HRV,lt1,"EN(α=1.0,l1=0.9)",14,7,2.6768,2.7412,0.725,0.855,0.1
HRV,lt1,"GBM(n=50,d=2)",14,7,3.0426,3.1097,0.601,0.777,2.3
HRV,lt1,"GBM(n=50,d=3)",14,7,3.1508,3.2088,0.545,0.758,3.3
HRV,lt1,"GBM(n=100,d=2)",14,7,3.1849,3.2316,0.546,0.757,4.3
HRV,lt1,"GBM(n=100,d=3)",14,7,3.2337,3.2749,0.51,0.745,5.7
HRV,lt1,"GBM(n=200,d=2)",14,7,3.2735,3.3046,0.507,0.743,7.6
HRV,lt1,"GBM(n=200,d=3)",14,7,3.3229,3.3441,0.485,0.737,10.3
HRV,lt1,"SVR(C=1,ε=0.1)",14,7,3.8092,3.8579,0.443,0.74,3.1
HRV,lt1,"SVR(C=1,ε=1.0)",14,7,3.8093,3.8579,0.443,0.74,3.1
HRV,lt1,"SVR(C=10,ε=0.1)",14,7,3.3285,3.402,0.563,0.759,2.9
HRV,lt1,"SVR(C=10,ε=1.0)",14,7,3.3292,3.4025,0.563,0.759,3.1
HRV,lt1,"SVR(C=100,ε=0.1)",14,7,3.2661,3.3331,0.565,0.751,3.2
HRV,lt1,"SVR(C=100,ε=1.0)",14,7,3.2653,3.3325,0.565,0.751,2.5
EMG+NIRS,lt1,Ridge(α=1),14,94,3.1612,2.906,0.656,0.825,0.6
EMG+NIRS,lt1,Ridge(α=10),14,94,3.0375,2.7989,0.682,0.839,0.5
EMG+NIRS,lt1,Ridge(α=100),14,94,2.8259,2.611,0.723,0.864,0.5
EMG+NIRS,lt1,Ridge(α=1000),14,94,2.6591,2.4868,0.754,0.887,0.6
EMG+NIRS,lt1,Huber(ε=1.1),14,94,3.3757,3.1202,0.603,0.801,5.6
EMG+NIRS,lt1,Huber(ε=1.35),14,94,3.3324,3.064,0.616,0.807,5.3
EMG+NIRS,lt1,Huber(ε=1.5),14,94,3.2885,3.0137,0.627,0.811,5.3
EMG+NIRS,lt1,Huber(ε=2.0),14,94,3.2195,2.9541,0.642,0.819,5.0
EMG+NIRS,lt1,"EN(α=0.01,l1=0.2)",14,94,2.9634,2.7341,0.696,0.848,6.2
EMG+NIRS,lt1,"EN(α=0.01,l1=0.5)",14,94,3.0033,2.769,0.689,0.843,6.4
EMG+NIRS,lt1,"EN(α=0.01,l1=0.9)",14,94,3.1111,2.863,0.667,0.83,8.1
EMG+NIRS,lt1,"EN(α=0.1,l1=0.2)",14,94,2.747,2.54,0.738,0.874,2.2
EMG+NIRS,lt1,"EN(α=0.1,l1=0.5)",14,94,2.7836,2.5718,0.731,0.869,2.3
EMG+NIRS,lt1,"EN(α=0.1,l1=0.9)",14,94,2.9183,2.6928,0.705,0.852,3.4
EMG+NIRS,lt1,"EN(α=1.0,l1=0.2)",14,94,2.6422,2.5093,0.756,0.891,1.0
EMG+NIRS,lt1,"EN(α=1.0,l1=0.5)",14,94,2.6377,2.4845,0.758,0.89,1.1
EMG+NIRS,lt1,"EN(α=1.0,l1=0.9)",14,94,2.6746,2.4764,0.75,0.882,1.1
EMG+NIRS,lt1,"GBM(n=50,d=2)",14,94,2.683,2.5263,0.75,0.873,26.9
EMG+NIRS,lt1,"GBM(n=50,d=3)",14,94,2.9198,2.8,0.708,0.855,37.1
EMG+NIRS,lt1,"GBM(n=100,d=2)",14,94,2.7306,2.5686,0.74,0.867,48.8
EMG+NIRS,lt1,"GBM(n=100,d=3)",14,94,2.9667,2.8387,0.701,0.851,71.1
EMG+NIRS,lt1,"GBM(n=200,d=2)",14,94,2.7569,2.5886,0.737,0.865,95.3
EMG+NIRS,lt1,"GBM(n=200,d=3)",14,94,3.0079,2.8715,0.695,0.847,135.5
EMG+NIRS,lt1,"SVR(C=1,ε=0.1)",14,94,4.332,4.3358,0.309,0.777,6.2
EMG+NIRS,lt1,"SVR(C=1,ε=1.0)",14,94,4.3318,4.3356,0.309,0.777,5.9
EMG+NIRS,lt1,"SVR(C=10,ε=0.1)",14,94,3.1622,3.0096,0.614,0.834,6.0
EMG+NIRS,lt1,"SVR(C=10,ε=1.0)",14,94,3.1623,3.0098,0.614,0.834,5.9
EMG+NIRS,lt1,"SVR(C=100,ε=0.1)",14,94,2.8767,2.6855,0.685,0.861,6.5
EMG+NIRS,lt1,"SVR(C=100,ε=1.0)",14,94,2.8776,2.6862,0.685,0.861,5.5
EMG+NIRS+HRV,lt1,Ridge(α=1),14,103,2.871,2.7024,0.724,0.862,0.6
EMG+NIRS+HRV,lt1,Ridge(α=10),14,103,2.8102,2.6571,0.736,0.869,0.5
EMG+NIRS+HRV,lt1,Ridge(α=100),14,103,2.541,2.41,0.783,0.893,0.6
EMG+NIRS+HRV,lt1,Ridge(α=1000),14,103,2.2887,2.1744,0.817,0.915,0.5
EMG+NIRS+HRV,lt1,Huber(ε=1.1),14,103,2.9664,2.8074,0.683,0.839,11.2
EMG+NIRS+HRV,lt1,Huber(ε=1.35),14,103,2.9706,2.8051,0.685,0.842,10.4
EMG+NIRS+HRV,lt1,Huber(ε=1.5),14,103,2.9783,2.8146,0.687,0.844,10.0
EMG+NIRS+HRV,lt1,Huber(ε=2.0),14,103,3.018,2.8474,0.682,0.842,9.0
EMG+NIRS+HRV,lt1,"EN(α=0.01,l1=0.2)",14,103,2.7409,2.596,0.749,0.875,6.7
EMG+NIRS+HRV,lt1,"EN(α=0.01,l1=0.5)",14,103,2.7817,2.6324,0.741,0.871,7.0
